gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBL021C	HAP3	2.995310308	3.745583769
YBL022C	PIM1	5.531875301	7.200914312
YBL023C	MCM2	2.830565359	3.30672233
YBL024W	NCL1	4.038635218	3.781028317
YBL025W	RRN10	1.910179855	4.278108718
YBL026W	LSM2	6.838842217	7.315546234
YBL027W	RPL19B	18.79458031	16.24658878
YBL028C	YBL028C	NA	1.943400657
YBL029C-A	YBL029C-A	3.129001007	3.995920421
YBL029W	YBL029W	NA	NA
YBL030C	PET9	10.75292693	11.75242124
YBL031W	SHE1	1.419172891	1.337852822
YBL032W	HEK2	6.594387487	6.250852865
YBL033C	RIB1	3.837182419	5.169873653
YBL034C	STU1	2.055929319	3.109250309
YBL035C	POL12	2.573771626	2.677321591
YBL036C	YBL036C	6.944751046	7.679465311
YBL037W	APL3	1.378096236	2.67296881
YBL038W	MRPL16	4.193731968	4.520165187
YBL039C	URA7	4.903872643	4.397571302
YBL039C-A	YBL039C-A	NA	NA
YBL039W-B	YBL039W-B	2.932145344	NA
YBL040C	ERD2	5.226693181	5.257350892
YBL041W	PRE7	5.0446991	6.678319538
YBL042C	FUI1	1.635788218	1.628712539
YBL043W	ECM13	NA	NA
YBL044W	YBL044W	NA	NA
YBL045C	COR1	5.111321052	6.756154915
YBL046W	PSY4	2.26201291	2.403268941
YBL047C	EDE1	5.813771046	6.791747171
YBL048W	RRT1	NA	NA
YBL049W	MOH1	4.273691073	8.853581133
YBL050W	SEC17	6.298542462	8.034544191
YBL051C	PIN4	3.654135473	4.315246598
YBL052C	SAS3	3.013181781	3.640787513
YBL053W	YBL053W	2.544354652	2.674461535
YBL054W	TOD6	1.655738288	1.685718591
YBL055C	YBL055C	3.715847229	4.664061329
YBL056W	PTC3	5.570581638	6.056923293
YBL057C	PTH2	6.768927958	6.128882133
YBL058W	SHP1	4.774215093	6.131550867
YBL059C-A	CMC2	5.211079191	5.243720687
YBL059W	YBL059W	2.657268067	4.548750748
YBL060W	YEL1	1.847310384	1.786913927
YBL061C	SKT5	2.337801386	3.166865959
YBL062W	YBL062W	2.692204435	3.181069733
YBL063W	KIP1	2.629028339	2.402088529
YBL064C	PRX1	NA	NA
YBL065W	YBL065W	NA	NA
YBL066C	SEF1	0.862692881	2.636321712
YBL067C	UBP13	2.967748568	3.253091943
YBL068W	PRS4	5.331936539	5.912443036
YBL068W-A	YBL068W-A	NA	NA
YBL069W	AST1	3.311074608	3.305925749
YBL070C	YBL070C	5.16029978	2.48402704
YBL071C	YBL071C	2.39095918	2.652564355
YBL071C-B	YBL071C-B	NA	NA
YBL071W-A	KTI11	4.884739399	0.830085025
YBL072C	RPS8A	18.60865726	17.6396423
YBL073W	YBL073W	NA	NA
YBL074C	AAR2	1.052457238	1.072998135
YBL075C	SSA3	7.981795344	NA
YBL076C	ILS1	9.453834188	9.938669809
YBL077W	YBL077W	9.441962492	12.05279489
YBL078C	ATG8	NA	NA
YBL079W	NUP170	2.798657567	4.095699217
YBL080C	PET112	2.597563339	2.96981516
YBL081W	YBL081W	1.477167466	1.680066747
YBL082C	ALG3	7.077765236	6.795211014
